league,season,player_id,games_played,attempts,mades,total_points,three_attempts,three_mades,two_attempts,two_mades,assisted_shots,fouled_on_shot,blocked_shots,avg_shot_distance,fg_percentage,two_pt_percentage,three_pt_percentage,efg_percentage,points_per_shot,three_pa_rate,ft_attempts,ft_mades,ft_percentage,fouled_fga,fouled_fg_made,fg_pct_on_fouled_fga,cns_attempts,cns_mades,cns_points,cns_three_attempts,cns_three_mades,cns_two_attempts,cns_two_mades,cns_fg_percentage,cns_efg_percentage,cns_ft_attempts,cns_ft_mades,cns_points_per_shot,cns_attempt_rate,od_attempts,od_mades,od_points,od_three_attempts,od_three_mades,od_two_attempts,od_two_mades,od_fg_percentage,od_efg_percentage,od_ft_attempts,od_ft_mades,od_points_per_shot,od_attempt_rate,contested_attempts,contested_mades,contested_points,contested_three_attempts,contested_three_mades,contested_two_attempts,contested_two_mades,contested_fg_percentage,contested_two_fg_percentage,contested_three_fg_percentage,contested_efg_percentage,contested_ft_attempts,contested_ft_mades,contested_points_per_shot,contested_attempt_rate,uncontested_attempts,uncontested_mades,uncontested_points,uncontested_three_attempts,uncontested_three_mades,uncontested_two_attempts,uncontested_two_mades,uncontested_fg_percentage,uncontested_two_fg_percentage,uncontested_three_fg_percentage,uncontested_efg_percentage,uncontested_ft_attempts,uncontested_ft_mades,uncontested_points_per_shot,uncontested_attempt_rate,rim_attempts,rim_mades,rim_fg_percentage,rim_attempt_rate,short_midrange_paint_attempts,short_midrange_paint_mades,short_midrange_paint_fg_percentage,short_midrange_paint_attempt_rate,long_midrange_attempts,long_midrange_mades,long_midrange_fg_percentage,long_midrange_attempt_rate,zone_three_attempts,zone_three_mades,zone_three_fg_percentage,zone_three_attempt_rate,attempts_Restricted_Area,mades_Restricted_Area,attempts_Paint_Non_RA,mades_Paint_Non_RA,attempts_Mid_Range,mades_Mid_Range,attempts_Corner_3,mades_Corner_3,attempts_Above_Break_3,mades_Above_Break_3,cl_average_attempts,cl_average_mades,cl_average_points,cl_average_fg_percentage,cl_average_attempt_rate,cl_average_points_per_shot,cl_blocked_attempts,cl_blocked_mades,cl_blocked_points,cl_blocked_fg_percentage,cl_blocked_attempt_rate,cl_blocked_points_per_shot,cl_light_attempts,cl_light_mades,cl_light_points,cl_light_fg_percentage,cl_light_attempt_rate,cl_light_points_per_shot,cl_open_attempts,cl_open_mades,cl_open_points,cl_open_fg_percentage,cl_open_attempt_rate,cl_open_points_per_shot,cl_plus_attempts,cl_plus_mades,cl_plus_points,cl_plus_fg_percentage,cl_plus_attempt_rate,cl_plus_points_per_shot,cst_catchAndShoot_attempts,cst_catchAndShoot_mades,cst_catchAndShoot_points,cst_catchAndShoot_fg_percentage,cst_catchAndShoot_attempt_rate,cst_catchAndShoot_points_per_shot,cst_dribblePullUp_attempts,cst_dribblePullUp_mades,cst_dribblePullUp_points,cst_dribblePullUp_fg_percentage,cst_dribblePullUp_attempt_rate,cst_dribblePullUp_points_per_shot,cst_dunk_attempts,cst_dunk_mades,cst_dunk_points,cst_dunk_fg_percentage,cst_dunk_attempt_rate,cst_dunk_points_per_shot,cst_floater_attempts,cst_floater_mades,cst_floater_points,cst_floater_fg_percentage,cst_floater_attempt_rate,cst_floater_points_per_shot,cst_heave_attempts,cst_heave_mades,cst_heave_points,cst_heave_fg_percentage,cst_heave_attempt_rate,cst_heave_points_per_shot,cst_hook_attempts,cst_hook_mades,cst_hook_points,cst_hook_fg_percentage,cst_hook_attempt_rate,cst_hook_points_per_shot,cst_layup_attempts,cst_layup_mades,cst_layup_points,cst_layup_fg_percentage,cst_layup_attempt_rate,cst_layup_points_per_shot,cst_leaner_attempts,cst_leaner_mades,cst_leaner_points,cst_leaner_fg_percentage,cst_leaner_attempt_rate,cst_leaner_points_per_shot,cst_lob_attempts,cst_lob_mades,cst_lob_points,cst_lob_fg_percentage,cst_lob_attempt_rate,cst_lob_points_per_shot,cst_offMove_attempts,cst_offMove_mades,cst_offMove_points,cst_offMove_fg_percentage,cst_offMove_attempt_rate,cst_offMove_points_per_shot,cst_postFadeaway_attempts,cst_postFadeaway_mades,cst_postFadeaway_points,cst_postFadeaway_fg_percentage,cst_postFadeaway_attempt_rate,cst_postFadeaway_points_per_shot,cst_shakeAndRaise_attempts,cst_shakeAndRaise_mades,cst_shakeAndRaise_points,cst_shakeAndRaise_fg_percentage,cst_shakeAndRaise_attempt_rate,cst_shakeAndRaise_points_per_shot,cst_stepback_attempts,cst_stepback_mades,cst_stepback_points,cst_stepback_fg_percentage,cst_stepback_attempt_rate,cst_stepback_points_per_shot,cst_tip_attempts,cst_tip_mades,cst_tip_points,cst_tip_fg_percentage,cst_tip_attempt_rate,cst_tip_points_per_shot,player_name,team_name,meta_team_id,appearances,is_traded
SPAIN,2024-2025,59173,1,1,0,0,0,0,1,0,0,0,0,5.4573,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,,0.0,1,0,0,0,0,1,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0,0,,,,,0,0,,0.0,1,0,0,0,0,1,0,0.0,0.0,,0.0,0,0,0.0,1.0,0,0,,0.0,1,0,0.0,1.0,0,0,,0.0,0,0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,1,0,0,0.0,1.0,0.0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,1,0,0,0.0,1.0,0.0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,Dylan Bordon,Dreamland Gran Canaria,1328,1,False
SPAIN,2024-2025,25326,23,40,22,60,0,0,40,22,13,14,2,3.7456249999999995,0.55,0.55,,0.55,1.1185682326621924,0.0,31,16,0.5161290322580645,14,3,0.21428571428571427,19,12,24,0,0,19,12,0.631578947368421,0.631578947368421,2,0,1.2072434607645877,0.5,19,10,20,0,0,19,10,0.5263157894736842,0.5263157894736842,1,0,1.02880658436214,0.5,31,15,30,0,0,31,15,0.4838709677419355,0.4838709677419355,,0.4838709677419355,3,0,0.9282178217821783,0.775,9,7,14,0,0,9,7,0.7777777777777778,0.7777777777777778,,0.7777777777777778,0,0,1.5555555555555556,0.225,24,18,0.75,0.6,14,4,0.2857142857142857,0.35,2,0,0.0,0.05,0,0,,0.0,24,18,14,4,2,0,0,0,0,0,4,2,4,0.5,0.1,1.0,2,0,0,0.0,0.05,0.0,3,2,4,0.6666666666666666,0.075,1.3333333333333333,6,5,10,0.8333333333333334,0.15,1.6666666666666667,25,13,26,0.52,0.625,1.04,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,1,1,2,1.0,0.025,2.0,0,0,0,,0.0,,8,1,2,0.125,0.2,0.25,30,19,38,0.6333333333333333,0.75,1.2666666666666666,0,0,0,,0.0,,1,1,2,1.0,0.025,2.0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,Ivan Aurrecoechea,Coviran Granada,1319,23,False
SPAIN,2024-2025,59253,11,64,24,68,49,16,15,8,13,2,2,20.3897390625,0.375,0.5333333333333333,0.32653061224489793,0.5,1.0340632603406326,0.765625,4,4,1.0,2,0,0.0,40,15,42,36,12,4,3,0.375,0.525,0,0,1.05,0.7017543859649122,17,7,18,11,4,6,3,0.4117647058823529,0.5294117647058824,0,0,1.0588235294117647,0.2982456140350877,44,16,44,36,12,8,4,0.36363636363636365,0.5,0.3333333333333333,0.5,0,0,1.0,0.7096774193548387,18,8,20,12,4,6,4,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555556,0,0,1.1111111111111112,0.2903225806451613,8,6,0.75,0.125,4,2,0.5,0.0625,2,0,0.0,0.03125,47,16,0.3404255319148936,0.734375,8,6,4,2,2,0,12,4,35,12,24,8,21,0.3333333333333333,0.375,0.875,1,0,0,0.0,0.015625,0.0,5,2,6,0.4,0.078125,1.2,13,6,14,0.46153846153846156,0.203125,1.0769230769230769,19,8,23,0.42105263157894735,0.296875,1.2105263157894737,16,7,21,0.4375,0.25,1.3125,10,4,12,0.4,0.15625,1.2,0,0,0,,0.0,,3,1,2,0.3333333333333333,0.046875,0.6666666666666666,1,0,0,0.0,0.015625,0.0,0,0,0,,0.0,,11,7,14,0.6363636363636364,0.171875,1.2727272727272727,1,0,0,0.0,0.015625,0.0,0,0,0,,0.0,,19,5,15,0.2631578947368421,0.296875,0.7894736842105263,0,0,0,,0.0,,0,0,0,,0.0,,1,0,0,0.0,0.015625,0.0,0,0,0,,0.0,,Tomas Dimsa,Casademont Zaragoza,1331,11,False
SPAIN,2024-2025,22847,16,84,32,88,60,19,24,13,25,3,2,19.414463095238098,0.38095238095238093,0.5416666666666666,0.31666666666666665,0.49404761904761907,1.0105649977032614,0.7142857142857143,7,5,0.7142857142857143,3,1,0.3333333333333333,66,24,67,57,19,9,5,0.36363636363636365,0.5075757575757576,0,0,1.0151515151515151,0.8048780487804879,16,8,16,1,0,15,8,0.5,0.5,1,1,1.0340632603406326,0.1951219512195122,64,24,61,42,13,22,11,0.375,0.5,0.30952380952380953,0.4765625,1,1,0.9621353196772191,0.7901234567901234,17,8,22,15,6,2,2,0.47058823529411764,1.0,0.4,0.6470588235294118,0,0,1.2941176470588236,0.20987654320987653,6,5,0.8333333333333334,0.07142857142857142,13,6,0.46153846153846156,0.15476190476190477,5,2,0.4,0.05952380952380952,57,19,0.3333333333333333,0.6785714285714286,6,5,13,6,5,2,16,5,41,14,30,11,30,0.36666666666666664,0.35714285714285715,1.0,2,0,0,0.0,0.023809523809523808,0.0,3,1,3,0.3333333333333333,0.03571428571428571,1.0,14,7,19,0.5,0.16666666666666666,1.3571428571428572,32,13,31,0.40625,0.38095238095238093,0.96875,39,14,41,0.358974358974359,0.4642857142857143,1.0512820512820513,7,1,2,0.14285714285714285,0.08333333333333333,0.2857142857142857,2,2,4,1.0,0.023809523809523808,2.0,3,2,4,0.6666666666666666,0.03571428571428571,1.3333333333333333,0,0,0,,0.0,,2,1,2,0.5,0.023809523809523808,1.0,7,4,8,0.5714285714285714,0.08333333333333333,1.1428571428571428,0,0,0,,0.0,,0,0,0,,0.0,,20,7,20,0.35,0.23809523809523808,1.0,1,1,2,1.0,0.011904761904761904,2.0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,Yves Pons,Basquet Girona,1315,16,False
SPAIN,2024-2025,59092,30,188,88,267,108,50,80,38,64,15,7,16.819776063829785,0.46808510638297873,0.475,0.46296296296296297,0.601063829787234,1.2714285714285714,0.574468085106383,50,41,0.82,15,4,0.26666666666666666,115,60,164,88,44,27,16,0.5217391304347826,0.7130434782608696,0,0,1.4260869565217391,0.6284153005464481,68,26,58,19,6,49,20,0.38235294117647056,0.4264705882352941,3,2,0.8655510675129834,0.37158469945355194,138,56,143,79,31,59,25,0.4057971014492754,0.423728813559322,0.3924050632911392,0.5181159420289855,4,3,1.0446479679450487,0.745945945945946,47,31,80,27,18,20,13,0.6595744680851063,0.65,0.6666666666666666,0.851063829787234,0,0,1.702127659574468,0.25405405405405407,34,19,0.5588235294117647,0.18085106382978725,25,12,0.48,0.13297872340425532,20,7,0.35,0.10638297872340426,104,48,0.46153846153846156,0.5531914893617021,34,19,25,12,20,7,34,18,70,30,72,32,84,0.4444444444444444,0.3829787234042553,1.1666666666666667,7,0,0,0.0,0.03723404255319149,0.0,9,5,14,0.5555555555555556,0.047872340425531915,1.5555555555555556,38,26,66,0.6842105263157895,0.20212765957446807,1.736842105263158,59,24,59,0.4067796610169492,0.31382978723404253,1.0,68,34,100,0.5,0.3617021276595745,1.4705882352941178,18,5,15,0.2777777777777778,0.09574468085106383,0.8333333333333334,3,1,2,0.3333333333333333,0.015957446808510637,0.6666666666666666,4,2,4,0.5,0.02127659574468085,1.0,0,0,0,,0.0,,6,1,2,0.16666666666666666,0.031914893617021274,0.3333333333333333,48,26,52,0.5416666666666666,0.2553191489361702,1.0833333333333333,0,0,0,,0.0,,0,0,0,,0.0,,27,13,37,0.48148148148148145,0.14361702127659576,1.3703703703703705,2,1,2,0.5,0.010638297872340425,1.0,4,1,3,0.25,0.02127659574468085,0.75,2,1,2,0.5,0.010638297872340425,1.0,3,2,4,0.6666666666666666,0.015957446808510637,1.3333333333333333,Toni Nakic,Leche Rio Breogan,1322,30,False
SPAIN,2024-2025,11643,23,262,109,326,138,56,124,53,45,17,11,18.176750763358775,0.41603053435114506,0.4274193548387097,0.4057971014492754,0.5229007633587787,1.1303744798890432,0.5267175572519084,60,52,0.8666666666666667,17,1,0.058823529411764705,60,28,79,49,23,11,5,0.4666666666666667,0.6583333333333333,0,0,1.3166666666666667,0.24096385542168675,189,76,184,84,32,105,44,0.4021164021164021,0.48677248677248675,1,1,0.9765625,0.7590361445783133,200,76,195,109,43,91,33,0.38,0.3626373626373626,0.3944954128440367,0.4875,1,1,0.9778487327878667,0.7782101167315175,57,31,73,25,11,32,20,0.543859649122807,0.625,0.44,0.6403508771929824,0,0,1.280701754385965,0.22178988326848248,14,7,0.5,0.05343511450381679,56,24,0.42857142857142855,0.21374045801526717,53,22,0.41509433962264153,0.20229007633587787,131,54,0.4122137404580153,0.5,14,7,56,24,53,22,15,6,116,48,94,40,108,0.425531914893617,0.35877862595419846,1.148936170212766,11,0,0,0.0,0.04198473282442748,0.0,21,9,21,0.42857142857142855,0.08015267175572519,1.0,36,22,52,0.6111111111111112,0.13740458015267176,1.4444444444444444,95,36,87,0.37894736842105264,0.36259541984732824,0.9157894736842105,35,16,48,0.45714285714285713,0.13358778625954199,1.3714285714285714,118,42,110,0.3559322033898305,0.45038167938931295,0.9322033898305084,0,0,0,,0.0,,19,7,14,0.3684210526315789,0.07251908396946564,0.7368421052631579,0,0,0,,0.0,,3,1,2,0.3333333333333333,0.011450381679389313,0.6666666666666666,44,22,44,0.5,0.16793893129770993,1.0,2,0,0,0.0,0.007633587786259542,0.0,0,0,0,,0.0,,19,8,22,0.42105263157894735,0.07251908396946564,1.1578947368421053,2,2,4,1.0,0.007633587786259542,2.0,8,5,13,0.625,0.030534351145038167,1.625,4,3,9,0.75,0.015267175572519083,2.25,3,1,2,0.3333333333333333,0.011450381679389313,0.6666666666666666,Dae Dae Grant,Leche Rio Breogan,1322,23,False
SPAIN,2024-2025,59273,26,244,94,292,154,56,90,38,65,10,10,20.242026229508188,0.38524590163934425,0.4222222222222222,0.36363636363636365,0.5,1.0905288317896624,0.6311475409836066,54,48,0.8888888888888888,10,4,0.4,124,50,141,98,41,26,9,0.4032258064516129,0.5685483870967742,1,1,1.1411121825779493,0.5254237288135594,112,41,95,51,13,61,28,0.36607142857142855,0.42410714285714285,4,4,0.870253164556962,0.4745762711864407,168,60,160,109,40,59,20,0.35714285714285715,0.3389830508474576,0.3669724770642202,0.47619047619047616,4,4,0.9660697455230914,0.7,72,34,84,41,16,31,18,0.4722222222222222,0.5806451612903226,0.3902439024390244,0.5833333333333334,1,1,1.1733848702374379,0.3,6,3,0.5,0.02459016393442623,34,16,0.47058823529411764,0.13934426229508196,50,19,0.38,0.20491803278688525,148,56,0.3783783783783784,0.6065573770491803,6,3,34,16,50,19,16,7,132,49,92,38,107,0.41304347826086957,0.3770491803278688,1.1630434782608696,10,0,0,0.0,0.040983606557377046,0.0,20,6,14,0.3,0.08196721311475409,0.7,52,28,70,0.5384615384615384,0.21311475409836064,1.3461538461538463,66,22,53,0.3333333333333333,0.27049180327868855,0.803030303030303,39,16,48,0.41025641025641024,0.1598360655737705,1.2307692307692308,71,22,56,0.30985915492957744,0.29098360655737704,0.7887323943661971,0,0,0,,0.0,,25,14,28,0.56,0.10245901639344263,1.12,0,0,0,,0.0,,1,1,2,1.0,0.004098360655737705,2.0,18,7,14,0.3888888888888889,0.07377049180327869,0.7777777777777778,0,0,0,,0.0,,0,0,0,,0.0,,77,31,87,0.4025974025974026,0.3155737704918033,1.12987012987013,0,0,0,,0.0,,7,3,9,0.42857142857142855,0.028688524590163935,1.2857142857142858,2,0,0,0.0,0.00819672131147541,0.0,0,0,0,,0.0,,Scott Bamforth,Coviran Granada,1319,26,False
SPAIN,2024-2025,59270,5,5,2,4,0,0,5,2,0,0,0,7.3149,0.4,0.4,,0.4,0.8,0.0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,,0.0,5,2,4,0,0,5,2,0.4,0.4,0,0,0.8,1.0,4,1,2,0,0,4,1,0.25,0.25,,0.25,0,0,0.5,0.8,1,1,2,0,0,1,1,1.0,1.0,,1.0,0,0,2.0,0.2,0,0,,0.0,5,2,0.4,1.0,0,0,,0.0,0,0,,0.0,0,0,5,2,0,0,0,0,0,0,1,1,2,1.0,0.2,2.0,0,0,0,,0.0,,0,0,0,,0.0,,1,1,2,1.0,0.2,2.0,3,0,0,0.0,0.6,0.0,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,1,1,2,1.0,0.2,2.0,0,0,0,,0.0,,1,0,0,0.0,0.2,0.0,3,1,2,0.3333333333333333,0.6,0.6666666666666666,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,Alejandro Hernandez,Leyma Coruna,1321,5,False
SPAIN,2024-2025,59089,28,47,28,86,0,0,47,28,25,9,3,8.796540425531918,0.5957446808510638,0.5957446808510638,,0.5957446808510638,1.359039190897598,0.0,37,30,0.8108108108108109,9,1,0.1111111111111111,36,23,46,0,0,36,23,0.6388888888888888,0.6388888888888888,1,1,1.2897914379802415,0.8,9,4,8,0,0,9,4,0.4444444444444444,0.4444444444444444,0,0,0.8888888888888888,0.2,29,16,32,0,0,29,16,0.5517241379310345,0.5517241379310345,,0.5517241379310345,1,1,1.1209239130434783,0.6170212765957447,18,12,24,0,0,18,12,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0,0,1.3333333333333333,0.3829787234042553,19,13,0.6842105263157895,0.40425531914893614,12,8,0.6666666666666666,0.2553191489361702,16,7,0.4375,0.3404255319148936,0,0,,0.0,19,13,12,8,16,7,0,0,0,0,12,8,16,0.6666666666666666,0.2553191489361702,1.3333333333333333,3,0,0,0.0,0.06382978723404255,0.0,4,1,2,0.25,0.0851063829787234,0.5,14,11,22,0.7857142857142857,0.2978723404255319,1.5714285714285714,14,8,16,0.5714285714285714,0.2978723404255319,1.1428571428571428,13,6,12,0.46153846153846156,0.2765957446808511,0.9230769230769231,0,0,0,,0.0,,4,4,8,1.0,0.0851063829787234,2.0,3,3,6,1.0,0.06382978723404255,2.0,0,0,0,,0.0,,4,1,2,0.25,0.0851063829787234,0.5,17,11,22,0.6470588235294118,0.3617021276595745,1.2941176470588236,0,0,0,,0.0,,2,2,4,1.0,0.0425531914893617,2.0,1,0,0,0.0,0.02127659574468085,0.0,0,0,0,,0.0,,2,1,2,0.5,0.0425531914893617,1.0,0,0,0,,0.0,,1,0,0,0.0,0.02127659574468085,0.0,Moussa Diagne,CB UCAM Murcia,1334,28,False
SPAIN,2024-2025,59138,34,90,62,140,1,0,89,62,44,23,4,4.95719888888889,0.6888888888888889,0.6966292134831461,0.0,0.6888888888888889,1.2853470437017995,0.011111111111111112,43,16,0.37209302325581395,23,9,0.391304347826087,54,41,82,1,0,53,41,0.7592592592592593,0.7592592592592593,7,2,1.4716187806587246,0.6666666666666666,27,17,34,0,0,27,17,0.6296296296296297,0.6296296296296297,3,2,1.271186440677966,0.3333333333333333,57,34,68,1,0,56,34,0.5964912280701754,0.6071428571428571,0.0,0.5964912280701754,9,3,1.1646981627296589,0.6477272727272727,31,27,54,0,0,31,27,0.8709677419354839,0.8709677419354839,,0.8709677419354839,1,1,1.7493638676844783,0.3522727272727273,45,36,0.8,0.5,40,24,0.6,0.4444444444444444,2,1,0.5,0.022222222222222223,1,0,0.0,0.011111111111111112,45,36,40,24,2,1,0,0,1,0,22,16,32,0.7272727272727273,0.24444444444444444,1.4545454545454546,4,0,0,0.0,0.044444444444444446,0.0,3,3,6,1.0,0.03333333333333333,2.0,28,24,48,0.8571428571428571,0.3111111111111111,1.7142857142857142,31,18,36,0.5806451612903226,0.34444444444444444,1.1612903225806452,5,3,6,0.6,0.05555555555555555,1.2,0,0,0,,0.0,,11,11,22,1.0,0.12222222222222222,2.0,0,0,0,,0.0,,0,0,0,,0.0,,13,5,10,0.38461538461538464,0.14444444444444443,0.7692307692307693,47,34,68,0.723404255319149,0.5222222222222223,1.446808510638298,0,0,0,,0.0,,4,4,8,1.0,0.044444444444444446,2.0,4,1,2,0.25,0.044444444444444446,0.5,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,4,3,6,0.75,0.044444444444444446,1.5,Khalifa Diop,Bitci Baskonia,1326,34,False
