dataset,column,display_name,category,role,split_type,split_value,data_type,unit,definition
picks_offense,league,League,Identifier,,,,string,,Competition the aggregate belongs to (SPAIN = Liga ACB).
picks_offense,season,Season,Identifier,,,,string,,"Season the aggregate belongs to, in YYYY-YYYY format."
picks_offense,player_id,Player ID,Identifier,,,,integer,,SkillCorner unique player identifier. Primary key of the file and join key between the picks and shots datasets.
picks_offense,games_played,Games Played,Playing Time,,,,integer,games,Number of games in which the player recorded at least one tracked event in this dataset.
picks_offense,handler_total_picks,Ball Handler - Picks,Volume,Ball Handler,,,integer,events,Total number of on-ball screens (pick-and-roll / pick-and-pop) the player was involved in as the ball handler using the on-ball screen.
picks_offense,handler_points,Ball Handler - Points,Scoring,Ball Handler,,,integer,points,Points generated by the player out of picks where he was the ball handler using the on-ball screen: his own field goal points plus free throws made plus the points scored by teammates on his assists out of the action. Verified: handler_points = 2*score_2pt + 3*score_3pt + ft_mades_in_pick + 2*assist_2pt + 3*assist_3pt.
picks_offense,handler_score,Ball Handler - Made Shots,Scoring,Ball Handler,,,integer,events,Number of made field goals by the player out of picks where he was the ball handler using the on-ball screen.
picks_offense,handler_miss,Ball Handler - Missed Shots,Scoring,Ball Handler,,,integer,events,Number of missed field goals by the player out of picks where he was the ball handler using the on-ball screen.
picks_offense,handler_score_2pt,Ball Handler - Made 2PT,Scoring,Ball Handler,,,integer,events,Made two-point field goals out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_score_3pt,Ball Handler - Made 3PT,Scoring,Ball Handler,,,integer,events,Made three-point field goals out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_miss_2pt,Ball Handler - Missed 2PT,Scoring,Ball Handler,,,integer,events,Missed two-point field goals out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_miss_3pt,Ball Handler - Missed 3PT,Scoring,Ball Handler,,,integer,events,Missed three-point field goals out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_turnover,Ball Handler - Turnovers,Outcome,Ball Handler,,,integer,events,Turnovers committed by the player on picks where he was the ball handler using the on-ball screen.
picks_offense,handler_foul,Ball Handler - Fouls Drawn,Outcome,Ball Handler,,,integer,events,Defensive fouls drawn by the player on picks where he was the ball handler using the on-ball screen.
picks_offense,handler_block,Ball Handler - Shots Blocked,Outcome,Ball Handler,,,integer,events,Shots by the player that were blocked on picks where he was the ball handler using the on-ball screen.
picks_offense,handler_assist,Ball Handler - Assists,Playmaking,Ball Handler,,,integer,events,Assists delivered by the player out of picks where he was the ball handler using the on-ball screen.
